image.name,analyst,expertise,red,purple,green
32_HGMNE2_1_b_GX010123_00001_20,SP,expert ,1,0,0
32_HGMNE2_1_b_GX010123_00002_25,SP,expert ,5,0,0
32_HGMNE2_1_b_GX010123_00003_30,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00004_35,SP,expert ,3,0,0
32_HGMNE2_1_b_GX010123_00005_40,SP,expert ,1,0,0
32_HGMNE2_1_b_GX010123_00006_45,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00007_50,SP,expert ,1,0,0
32_HGMNE2_1_b_GX010123_00008_55,SP,expert ,2,0,0
32_HGMNE2_1_b_GX010123_00009_60,SP,expert ,1,0,0
32_HGMNE2_1_b_GX010123_00010_65,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00011_70,SP,expert ,1,0,0
32_HGMNE2_1_b_GX010123_00012_75,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00013_80,SP,expert ,2,0,0
32_HGMNE2_1_b_GX010123_00014_85,SP,expert ,2,0,0
32_HGMNE2_1_b_GX010123_00015_90,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00016_95,SP,expert ,2,0,0
32_HGMNE2_1_b_GX010123_00017_100,SP,expert ,3,0,0
32_HGMNE2_1_b_GX010123_00018_105,SP,expert ,1,0,0
32_HGMNE2_1_b_GX010123_00019_110,SP,expert ,1,0,0
32_HGMNE2_1_b_GX010123_00020_115,SP,expert ,1,0,0
32_HGMNE2_1_b_GX010123_00021_120,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00022_125,SP,expert ,0,0,1
32_HGMNE2_1_b_GX010123_00023_130,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00024_135,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00025_140,SP,expert ,1,0,0
32_HGMNE2_1_b_GX010123_00026_145,SP,expert ,2,0,0
32_HGMNE2_1_b_GX010123_00027_150,SP,expert ,1,0,0
32_HGMNE2_1_b_GX010123_00028_155,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00029_160,SP,expert ,2,0,0
32_HGMNE2_1_b_GX010123_00030_165,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00031_170,SP,expert ,3,0,0
32_HGMNE2_1_b_GX010123_00032_175,SP,expert ,1,0,0
32_HGMNE2_1_b_GX010123_00033_180,SP,expert ,3,0,0
32_HGMNE2_1_b_GX010123_00034_185,SP,expert ,1,0,0
32_HGMNE2_1_b_GX010123_00035_190,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00036_195,SP,expert ,2,0,0
32_HGMNE2_1_b_GX010123_00037_200,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00038_205,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00039_210,SP,expert ,1,0,0
32_HGMNE2_1_b_GX010123_00040_215,SP,expert ,2,0,0
32_HGMNE2_1_b_GX010123_00041_220,SP,expert ,4,0,0
32_HGMNE2_1_b_GX010123_00042_225,SP,expert ,2,0,0
32_HGMNE2_1_b_GX010123_00043_230,SP,expert ,2,0,1
32_HGMNE2_1_b_GX010123_00044_235,SP,expert ,2,0,0
32_HGMNE2_1_b_GX010123_00045_240,SP,expert ,1,0,0
32_HGMNE2_1_b_GX010123_00046_245,SP,expert ,4,0,1
32_HGMNE2_1_b_GX010123_00047_250,SP,expert ,0,0,1
32_HGMNE2_1_b_GX010123_00048_255,SP,expert ,5,0,0
32_HGMNE2_1_b_GX010123_00049_260,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00050_265,SP,expert ,3,0,0
34_HGMNE2_2_b_GX010125_00001_15,SP,expert ,1,0,0
34_HGMNE2_2_b_GX010125_00002_20,SP,expert ,1,0,0
34_HGMNE2_2_b_GX010125_00003_25,SP,expert ,1,0,0
34_HGMNE2_2_b_GX010125_00004_30,SP,expert ,2,0,0
34_HGMNE2_2_b_GX010125_00005_35,SP,expert ,1,0,0
34_HGMNE2_2_b_GX010125_00006_40,SP,expert ,1,0,0
34_HGMNE2_2_b_GX010125_00007_45,SP,expert ,1,0,0
34_HGMNE2_2_b_GX010125_00008_50,SP,expert ,0,0,0
34_HGMNE2_2_b_GX010125_00009_55,SP,expert ,3,0,0
34_HGMNE2_2_b_GX010125_00010_60,SP,expert ,0,0,0
34_HGMNE2_2_b_GX010125_00011_65,SP,expert ,2,0,0
34_HGMNE2_2_b_GX010125_00012_70,SP,expert ,0,0,0
34_HGMNE2_2_b_GX010125_00013_75,SP,expert ,1,0,0
34_HGMNE2_2_b_GX010125_00014_80,SP,expert ,2,0,2
34_HGMNE2_2_b_GX010125_00015_85,SP,expert ,2,0,0
34_HGMNE2_2_b_GX010125_00016_90,SP,expert ,3,0,0
34_HGMNE2_2_b_GX010125_00017_95,SP,expert ,2,0,1
34_HGMNE2_2_b_GX010125_00018_100,SP,expert ,0,0,0
34_HGMNE2_2_b_GX010125_00019_105,SP,expert ,0,0,0
34_HGMNE2_2_b_GX010125_00020_110,SP,expert ,2,0,0
34_HGMNE2_2_b_GX010125_00021_115,SP,expert ,2,0,0
34_HGMNE2_2_b_GX010125_00022_120,SP,expert ,4,0,0
34_HGMNE2_2_b_GX010125_00023_125,SP,expert ,2,0,0
34_HGMNE2_2_b_GX010125_00024_130,SP,expert ,2,0,1
34_HGMNE2_2_b_GX010125_00025_135,SP,expert ,0,0,1
34_HGMNE2_2_b_GX010125_00026_140,SP,expert ,1,0,0
34_HGMNE2_2_b_GX010125_00027_145,SP,expert ,2,0,2
34_HGMNE2_2_b_GX010125_00028_150,SP,expert ,1,0,0
34_HGMNE2_2_b_GX010125_00029_155,SP,expert ,3,0,3
34_HGMNE2_2_b_GX010125_00030_160,SP,expert ,2,0,0
34_HGMNE2_2_b_GX010125_00031_165,SP,expert ,1,0,1
34_HGMNE2_2_b_GX010125_00032_170,SP,expert ,0,0,0
34_HGMNE2_2_b_GX010125_00033_175,SP,expert ,0,0,2
34_HGMNE2_2_b_GX010125_00034_180,SP,expert ,2,0,1
34_HGMNE2_2_b_GX010125_00035_185,SP,expert ,2,0,2
34_HGMNE2_2_b_GX010125_00036_190,SP,expert ,0,0,0
34_HGMNE2_2_b_GX010125_00037_195,SP,expert ,2,0,1
34_HGMNE2_2_b_GX010125_00038_200,SP,expert ,4,0,1
34_HGMNE2_2_b_GX010125_00039_205,SP,expert ,3,0,1
34_HGMNE2_2_b_GX010125_00040_210,SP,expert ,4,0,1
34_HGMNE2_2_b_GX010125_00041_215,SP,expert ,7,0,1
34_HGMNE2_2_b_GX010125_00042_220,SP,expert ,1,0,1
34_HGMNE2_2_b_GX010125_00043_83,SP,expert ,2,0,2
34_HGMNE2_2_b_GX010125_00044_230,SP,expert ,0,0,0
34_HGMNE2_2_b_GX010125_00045_235,SP,expert ,1,0,0
34_HGMNE2_2_b_GX010125_00046_240,SP,expert ,2,0,2
34_HGMNE2_2_b_GX010125_00047_245,SP,expert ,1,0,0
34_HGMNE2_2_b_GX010125_00048_250,SP,expert ,2,0,0
34_HGMNE2_2_b_GX010125_00049_255,SP,expert ,0,0,0
34_HGMNE2_2_b_GX010125_00050_165,SP,expert ,1,0,1
36_HGMNE2_3_b_GX010127_00001_16,SP,expert ,1,0,1
36_HGMNE2_3_b_GX010127_00002_22,SP,expert ,9,0,1
36_HGMNE2_3_b_GX010127_00003_28,SP,expert ,2,0,6
36_HGMNE2_3_b_GX010127_00004_34,SP,expert ,6,0,3
36_HGMNE2_3_b_GX010127_00005_40,SP,expert ,3,0,2
36_HGMNE2_3_b_GX010127_00006_46,SP,expert ,0,0,0
36_HGMNE2_3_b_GX010127_00007_52,SP,expert ,1,0,0
36_HGMNE2_3_b_GX010127_00008_58,SP,expert ,1,0,0
36_HGMNE2_3_b_GX010127_00009_64,SP,expert ,1,0,1
36_HGMNE2_3_b_GX010127_00010_70,SP,expert ,0,0,3
36_HGMNE2_3_b_GX010127_00011_76,SP,expert ,0,0,9
36_HGMNE2_3_b_GX010127_00012_82,SP,expert ,0,0,0
36_HGMNE2_3_b_GX010127_00013_88,SP,expert ,1,0,0
36_HGMNE2_3_b_GX010127_00014_94,SP,expert ,2,0,0
36_HGMNE2_3_b_GX010127_00015_100,SP,expert ,1,0,0
36_HGMNE2_3_b_GX010127_00016_106,SP,expert ,0,0,0
36_HGMNE2_3_b_GX010127_00017_112,SP,expert ,0,0,0
36_HGMNE2_3_b_GX010127_00018_118,SP,expert ,1,0,0
36_HGMNE2_3_b_GX010127_00019_124,SP,expert ,2,0,0
36_HGMNE2_3_b_GX010127_00020_130,SP,expert ,1,0,0
36_HGMNE2_3_b_GX010127_00021_136,SP,expert ,0,0,0
36_HGMNE2_3_b_GX010127_00022_142,SP,expert ,1,0,1
36_HGMNE2_3_b_GX010127_00023_148,SP,expert ,2,0,0
36_HGMNE2_3_b_GX010127_00024_154,SP,expert ,0,0,0
36_HGMNE2_3_b_GX010127_00025_160,SP,expert ,0,0,5
36_HGMNE2_3_b_GX010127_00026_166,SP,expert ,0,0,5
36_HGMNE2_3_b_GX010127_00027_172,SP,expert ,0,0,0
36_HGMNE2_3_b_GX010127_00028_178,SP,expert ,0,0,0
36_HGMNE2_3_b_GX010127_00029_184,SP,expert ,4,0,0
36_HGMNE2_3_b_GX010127_00030_190,SP,expert ,3,0,2
36_HGMNE2_3_b_GX010127_00031_196,SP,expert ,4,0,0
36_HGMNE2_3_b_GX010127_00032_202,SP,expert ,2,0,1
36_HGMNE2_3_b_GX010127_00033_208,SP,expert ,0,0,0
36_HGMNE2_3_b_GX010127_00034_214,SP,expert ,0,0,0
36_HGMNE2_3_b_GX010127_00035_220,SP,expert ,3,0,8
36_HGMNE2_3_b_GX010127_00036_226,SP,expert ,7,0,7
36_HGMNE2_3_b_GX010127_00037_232,SP,expert ,6,0,4
36_HGMNE2_3_b_GX010127_00038_238,SP,expert ,6,0,1
36_HGMNE2_3_b_GX010127_00039_244,SP,expert ,2,0,1
36_HGMNE2_3_b_GX010127_00040_250,SP,expert ,2,0,1
36_HGMNE2_3_b_GX010127_00041_256,SP,expert ,2,0,4
36_HGMNE2_3_b_GX010127_00042_262,SP,expert ,1,0,0
36_HGMNE2_3_b_GX010127_00043_268,SP,expert ,1,0,3
36_HGMNE2_3_b_GX010127_00044_274,SP,expert ,4,0,0
36_HGMNE2_3_b_GX010127_00045_280,SP,expert ,5,0,0
36_HGMNE2_3_b_GX010127_00046_286,SP,expert ,2,0,0
36_HGMNE2_3_b_GX010127_00047_292,SP,expert ,1,0,0
36_HGMNE2_3_b_GX010127_00048_298,SP,expert ,0,0,0
36_HGMNE2_3_b_GX010127_00049_304,SP,expert ,1,0,0
36_HGMNE2_3_b_GX010127_00050_310,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00001_21,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00002_27,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00003_33,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00004_39,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00005_45,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00006_51,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00007_57,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00008_63,SP,expert ,1,0,0
38_HGMNW2_1_b_GX010138_00009_69,SP,expert ,1,0,0
38_HGMNW2_1_b_GX010138_00010_75,SP,expert ,2,0,0
38_HGMNW2_1_b_GX010138_00011_81,SP,expert ,1,0,0
38_HGMNW2_1_b_GX010138_00012_87,SP,expert ,1,0,0
38_HGMNW2_1_b_GX010138_00013_93,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00014_99,SP,expert ,1,0,0
38_HGMNW2_1_b_GX010138_00015_105,SP,expert ,1,0,0
38_HGMNW2_1_b_GX010138_00016_111,SP,expert ,1,0,0
38_HGMNW2_1_b_GX010138_00017_117,SP,expert ,1,0,0
38_HGMNW2_1_b_GX010138_00018_123,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00019_129,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00020_135,SP,expert ,1,0,0
38_HGMNW2_1_b_GX010138_00021_141,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00022_147,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00023_153,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00024_159,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00025_165,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00026_171,SP,expert ,3,0,0
38_HGMNW2_1_b_GX010138_00027_177,SP,expert ,1,0,0
38_HGMNW2_1_b_GX010138_00028_183,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00029_189,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00030_195,SP,expert ,1,0,0
38_HGMNW2_1_b_GX010138_00031_201,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00032_207,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00033_213,SP,expert ,1,0,0
38_HGMNW2_1_b_GX010138_00034_219,SP,expert ,1,0,0
38_HGMNW2_1_b_GX010138_00035_225,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00036_231,SP,expert ,2,0,0
38_HGMNW2_1_b_GX010138_00037_237,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00038_243,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00039_249,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00040_255,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00041_261,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00042_267,SP,expert ,1,0,0
38_HGMNW2_1_b_GX010138_00043_273,SP,expert ,2,0,0
38_HGMNW2_1_b_GX010138_00044_279,SP,expert ,1,0,0
38_HGMNW2_1_b_GX010138_00045_285,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00046_291,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00047_297,SP,expert ,2,0,0
38_HGMNW2_1_b_GX010138_00048_303,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00049_309,SP,expert ,0,0,0
38_HGMNW2_1_b_GX010138_00050_15,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00001_20,NS,advanced,1,0,0
32_HGMNE2_1_b_GX010123_00002_25,NS,advanced,5,0,0
32_HGMNE2_1_b_GX010123_00003_30,NS,advanced,1,0,0
32_HGMNE2_1_b_GX010123_00004_35,NS,advanced,3,0,0
32_HGMNE2_1_b_GX010123_00005_40,NS,advanced,1,0,0
32_HGMNE2_1_b_GX010123_00006_45,NS,advanced,1,0,0
32_HGMNE2_1_b_GX010123_00007_50,NS,advanced,1,0,0
32_HGMNE2_1_b_GX010123_00008_55,NS,advanced,2,0,0
32_HGMNE2_1_b_GX010123_00009_60,NS,advanced,1,0,0
32_HGMNE2_1_b_GX010123_00010_65,NS,advanced,1,0,0
32_HGMNE2_1_b_GX010123_00011_70,NS,advanced,1,0,0
32_HGMNE2_1_b_GX010123_00012_75,NS,advanced,0,0,0
32_HGMNE2_1_b_GX010123_00013_80,NS,advanced,2,0,0
32_HGMNE2_1_b_GX010123_00014_85,NS,advanced,2,0,0
32_HGMNE2_1_b_GX010123_00015_90,NS,advanced,0,0,0
32_HGMNE2_1_b_GX010123_00016_95,NS,advanced,2,0,0
32_HGMNE2_1_b_GX010123_00017_100,NS,advanced,3,0,0
32_HGMNE2_1_b_GX010123_00018_105,NS,advanced,1,0,0
32_HGMNE2_1_b_GX010123_00019_110,NS,advanced,1,0,0
32_HGMNE2_1_b_GX010123_00020_115,NS,advanced,1,0,0
32_HGMNE2_1_b_GX010123_00021_120,NS,advanced,0,0,0
32_HGMNE2_1_b_GX010123_00022_125,NS,advanced,0,0,1
32_HGMNE2_1_b_GX010123_00023_130,NS,advanced,0,0,0
32_HGMNE2_1_b_GX010123_00024_135,NS,advanced,0,0,0
32_HGMNE2_1_b_GX010123_00025_140,NS,advanced,1,0,0
32_HGMNE2_1_b_GX010123_00026_145,NS,advanced,2,0,0
32_HGMNE2_1_b_GX010123_00027_150,NS,advanced,1,0,0
32_HGMNE2_1_b_GX010123_00028_155,NS,advanced,0,0,0
32_HGMNE2_1_b_GX010123_00029_160,NS,advanced,2,0,0
32_HGMNE2_1_b_GX010123_00030_165,NS,advanced,0,0,0
32_HGMNE2_1_b_GX010123_00031_170,NS,advanced,3,0,0
32_HGMNE2_1_b_GX010123_00032_175,NS,advanced,2,0,0
32_HGMNE2_1_b_GX010123_00033_180,NS,advanced,3,0,0
32_HGMNE2_1_b_GX010123_00034_185,NS,advanced,2,0,0
32_HGMNE2_1_b_GX010123_00035_190,NS,advanced,0,0,0
32_HGMNE2_1_b_GX010123_00036_195,NS,advanced,2,0,0
32_HGMNE2_1_b_GX010123_00037_200,NS,advanced,0,0,0
32_HGMNE2_1_b_GX010123_00038_205,NS,advanced,1,0,0
32_HGMNE2_1_b_GX010123_00039_210,NS,advanced,1,0,0
32_HGMNE2_1_b_GX010123_00040_215,NS,advanced,3,0,0
32_HGMNE2_1_b_GX010123_00041_220,NS,advanced,4,0,0
32_HGMNE2_1_b_GX010123_00042_225,NS,advanced,3,0,0
32_HGMNE2_1_b_GX010123_00043_230,NS,advanced,2,0,0
32_HGMNE2_1_b_GX010123_00044_235,NS,advanced,2,0,0
32_HGMNE2_1_b_GX010123_00045_240,NS,advanced,1,0,0
32_HGMNE2_1_b_GX010123_00046_245,NS,advanced,4,0,1
32_HGMNE2_1_b_GX010123_00047_250,NS,advanced,1,0,1
32_HGMNE2_1_b_GX010123_00048_255,NS,advanced,5,0,0
32_HGMNE2_1_b_GX010123_00049_260,NS,advanced,0,0,0
32_HGMNE2_1_b_GX010123_00050_265,NS,advanced,3,0,0
34_HGMNE2_2_b_GX010125_00001_15,NS,advanced,1,0,0
34_HGMNE2_2_b_GX010125_00002_20,NS,advanced,1,0,0
34_HGMNE2_2_b_GX010125_00003_25,NS,advanced,1,0,0
34_HGMNE2_2_b_GX010125_00004_30,NS,advanced,3,0,0
34_HGMNE2_2_b_GX010125_00005_35,NS,advanced,1,0,0
34_HGMNE2_2_b_GX010125_00006_40,NS,advanced,1,0,0
34_HGMNE2_2_b_GX010125_00007_45,NS,advanced,1,0,0
34_HGMNE2_2_b_GX010125_00008_50,NS,advanced,0,0,0
34_HGMNE2_2_b_GX010125_00009_55,NS,advanced,2,0,0
34_HGMNE2_2_b_GX010125_00010_60,NS,advanced,0,0,0
34_HGMNE2_2_b_GX010125_00011_65,NS,advanced,2,0,0
34_HGMNE2_2_b_GX010125_00012_70,NS,advanced,1,0,0
34_HGMNE2_2_b_GX010125_00013_75,NS,advanced,1,0,0
34_HGMNE2_2_b_GX010125_00014_80,NS,advanced,3,0,1
34_HGMNE2_2_b_GX010125_00015_85,NS,advanced,2,0,0
34_HGMNE2_2_b_GX010125_00016_90,NS,advanced,3,0,0
34_HGMNE2_2_b_GX010125_00017_95,NS,advanced,2,0,1
34_HGMNE2_2_b_GX010125_00018_100,NS,advanced,0,0,0
34_HGMNE2_2_b_GX010125_00019_105,NS,advanced,0,0,0
34_HGMNE2_2_b_GX010125_00020_110,NS,advanced,2,0,0
34_HGMNE2_2_b_GX010125_00021_115,NS,advanced,2,0,0
34_HGMNE2_2_b_GX010125_00022_120,NS,advanced,4,0,0
34_HGMNE2_2_b_GX010125_00023_125,NS,advanced,2,0,0
34_HGMNE2_2_b_GX010125_00024_130,NS,advanced,2,0,1
34_HGMNE2_2_b_GX010125_00025_135,NS,advanced,0,0,1
34_HGMNE2_2_b_GX010125_00026_140,NS,advanced,1,0,0
34_HGMNE2_2_b_GX010125_00027_145,NS,advanced,3,0,0
34_HGMNE2_2_b_GX010125_00028_150,NS,advanced,1,0,0
34_HGMNE2_2_b_GX010125_00029_155,NS,advanced,3,0,3
34_HGMNE2_2_b_GX010125_00030_160,NS,advanced,2,0,0
34_HGMNE2_2_b_GX010125_00031_165,NS,advanced,2,0,1
34_HGMNE2_2_b_GX010125_00032_170,NS,advanced,0,0,0
34_HGMNE2_2_b_GX010125_00033_175,NS,advanced,0,0,2
34_HGMNE2_2_b_GX010125_00034_180,NS,advanced,2,0,1
34_HGMNE2_2_b_GX010125_00035_185,NS,advanced,3,0,2
34_HGMNE2_2_b_GX010125_00036_190,NS,advanced,0,0,0
34_HGMNE2_2_b_GX010125_00037_195,NS,advanced,2,0,1
34_HGMNE2_2_b_GX010125_00038_200,NS,advanced,4,0,1
34_HGMNE2_2_b_GX010125_00039_205,NS,advanced,3,0,1
34_HGMNE2_2_b_GX010125_00040_210,NS,advanced,5,0,1
34_HGMNE2_2_b_GX010125_00041_215,NS,advanced,7,0,2
34_HGMNE2_2_b_GX010125_00042_220,NS,advanced,2,0,1
34_HGMNE2_2_b_GX010125_00043_83,NS,advanced,2,0,2
34_HGMNE2_2_b_GX010125_00044_230,NS,advanced,0,0,0
34_HGMNE2_2_b_GX010125_00045_235,NS,advanced,1,0,0
34_HGMNE2_2_b_GX010125_00046_240,NS,advanced,3,0,2
34_HGMNE2_2_b_GX010125_00047_245,NS,advanced,1,0,0
